,08P,10-12D,10AG,10C,10G,10SoS,10T,12P,12S,Mean,Standard Deviation,mean,sem,R mean,R,B_GS,,,
,,,,,,,,,,,std,,,,SEM,,SEM,,
0.415,0.199231,0.230415,0.267123,0.216826,0.233511,0.242736,0.219036,0.226751,0.222255,0.228653777777778,0.0188664626439204,0.228653777777778,0.00628882088130681,0.276153777777778,0.00360491835235703,0.47625,0.00494686961683192,,
0.42,0.217027,0.248118,0.282704,0.233433,0.249789,0.260044,0.236844,0.244368,0.240645,0.245885777777778,0.0182882427380119,0.245885777777778,0.00609608091267063,0.286007333333333,0.00342587982211221,0.479939222222222,0.00476098036739142,,
0.425,0.235336,0.266276,0.29812,0.250588,0.266628,0.277791,0.255249,0.26254,0.259465,0.263554777777778,0.0175551028961509,0.263554777777778,0.00585170096538363,0.295948555555556,0.00326327806435624,0.483803111111111,0.00455748951486993,,
0.43,0.254048,0.284771,0.313263,0.268243,0.283927,0.295839,0.274149,0.281172,0.278608,0.281557777777778,0.0166692966916557,0.281557777777778,0.00555643223055191,0.306200444444445,0.00317664589058924,0.487678666666667,0.00436653906057058,,
0.435,0.273044,0.303468,0.328049,0.286339,0.301568,0.314039,0.293419,0.300147,0.297953,0.299780666666667,0.0156471356883616,0.299780666666667,0.00521571189612054,0.316675,0.00312554821857969,0.491552833333333,0.00417063005735011,,
0.44,0.292199,0.322231,0.342429,0.304809,0.319427,0.332242,0.312926,0.319329,0.317373,0.318107222222222,0.0145217240434614,0.318107222222222,0.00484057468115379,0.327371666666667,0.00310146317620141,0.495367777777778,0.0039710189286776,,
0.445,0.311396,0.340922,0.356385,0.323577,0.337381,0.350309,0.332529,0.338577,0.336741,0.336424111111111,0.0133404259437662,0.336424111111111,0.00444680864792208,0.338437333333333,0.00313863215075896,0.498993388888889,0.00379272039934052,,
0.45,0.330523,0.359418,0.369928,0.342564,0.355311,0.368116,0.352093,0.35775,0.355935,0.354626444444444,0.0121650071425288,0.354626444444444,0.00405500238084295,0.349867444444444,0.0032249667444931,0.5023795,0.00363998456266803,,
0.455,0.349483,0.377608,0.383095,0.361687,0.373112,0.385561,0.371496,0.376717,0.374844,0.372622555555556,0.0110688948986689,0.372622555555556,0.00368963163288963,0.361652444444445,0.00334608921857174,0.505485055555555,0.00351786042573068,,
0.46,0.368196,0.395406,0.395945,0.380867,0.390696,0.40257,0.390632,0.395364,0.393376,0.390339111111111,0.0101329759380505,0.390339111111111,0.00337765864601684,0.373778888888889,0.00348650744714712,0.508280111111111,0.00343208304658198,,
0.465,0.386602,0.412746,0.408549,0.400022,0.407991,0.419093,0.409418,0.413597,0.411456,0.407719333333333,0.00943381974599897,0.407719333333333,0.00314460658199966,0.386231111111111,0.00363048255303634,0.510744111111111,0.003387544567518,,
0.47,0.404657,0.429587,0.420984,0.419077,0.424948,0.435108,0.427794,0.431345,0.429031,0.424725666666667,0.0090270417635015,0.424725666666667,0.00300901392116717,0.398993222222222,0.00376305083002909,0.512866222222222,0.00338603237559813,,
0.475,0.422337,0.445909,0.433326,0.437959,0.441537,0.450619,0.445723,0.44856,0.44607,0.441337777777778,0.00892675558052556,0.441337777777778,0.00297558519350852,0.412050222222222,0.00387115778969497,0.514643777777778,0.00342337149160174,,
0.48,0.439633,0.461712,0.445645,0.4566,0.457745,0.465645,0.463191,0.465215,0.462558,0.457549333333333,0.00909802776704929,0.457549333333333,0.00303267592234976,0.425389444444444,0.00394308361815383,0.516079944444444,0.0034878797702518,,
0.485,0.456547,0.477012,0.457998,0.474936,0.473571,0.480222,0.480196,0.4813,0.478498,0.473364444444444,0.00947228734402506,0.473364444444444,0.00315742911467502,0.439002,0.00396939059834406,0.517181222222222,0.00356340985650954,,
0.49,0.473091,0.491833,0.470426,0.492911,0.489023,0.494396,0.496754,0.496823,0.493906,0.488795888888889,0.00997212766219481,0.488795888888889,0.00332404255406494,0.452883444444444,0.00394344001021919,0.517956222222222,0.00363374128214206,,
0.495,0.489281,0.506208,0.482954,0.510474,0.504117,0.508215,0.512882,0.511798,0.508805,0.503859333333333,0.0105282928340733,0.503859333333333,0.0035094309446911,0.467035111111111,0.00386137060598826,0.518412111111111,0.00368540077533968,,
0.5,0.505136,0.520173,0.495588,0.52758,0.518866,0.521726,0.528605,0.526249,0.523227,0.518572222222222,0.0110893992823978,0.518572222222222,0.00369646642746593,0.481427777777778,0.00369646642746593,0.518572222222222,0.00369646642746593,,
0.505,0.520671,0.533762,0.508455,0.544192,0.533282,0.534973,0.54394,0.540205,0.537204,0.532964888888889,0.0115841118179648,0.532964888888889,0.00386137060598826,0.496140666666667,0.0035094309446911,0.518412111111111,0.00368540077533968,,
0.51,0.535901,0.547009,0.522133,0.560281,0.547369,0.54799,0.558905,0.553692,0.550769,0.547116555555556,0.0118303200306576,0.547116555555556,0.00394344001021919,0.511204111111111,0.00332404255406494,0.517956222222222,0.00363374128214206,,
0.515,0.550836,0.55994,0.536257,0.575822,0.561126,0.560802,0.573505,0.566739,0.563955,0.560998,0.0119081717950322,0.560998,0.00396939059834406,0.526635555555556,0.00315742911467502,0.517181222222222,0.00356340985650954,,
0.52,0.56548,0.572579,0.550766,0.590801,0.574543,0.573422,0.587741,0.579374,0.576789,0.574610555555556,0.0118292508544615,0.574610555555556,0.00394308361815383,0.542450666666667,0.00303267592234976,0.516079944444444,0.0034878797702518,,
0.525,0.579832,0.584943,0.565589,0.605207,0.587603,0.585852,0.601603,0.591621,0.589298,0.587949777777778,0.0116134733690849,0.587949777777778,0.00387115778969497,0.558662222222222,0.00297558519350852,0.514643777777778,0.00342337149160174,,
0.53,0.593888,0.597041,0.580646,0.619037,0.600285,0.598084,0.615077,0.603502,0.601501,0.601006777777778,0.0112891524900873,0.601006777777778,0.00376305083002909,0.575274333333333,0.00300901392116717,0.512866222222222,0.00338603237559813,,
0.535,0.607639,0.608878,0.59585,0.632293,0.612564,0.6101,0.628143,0.615038,0.613415,0.613768888888889,0.010891447659109,0.613768888888889,0.00363048255303634,0.592280666666667,0.00314460658199966,0.510744111111111,0.003387544567518,,
0.54,0.621076,0.620457,0.611114,0.644981,0.624413,0.621877,0.640776,0.626246,0.62505,0.626221111111111,0.0104595223414414,0.626221111111111,0.00348650744714712,0.609660888888889,0.00337765864601684,0.508280111111111,0.00343208304658198,,
0.545,0.634188,0.631772,0.62635,0.657111,0.63581,0.633387,0.652954,0.637142,0.636414,0.638347555555555,0.0100382676557152,0.638347555555555,0.00334608921857174,0.627377444444444,0.00368963163288963,0.505485055555555,0.00351786042573068,,
0.55,0.646965,0.642817,0.641477,0.668697,0.646736,0.644597,0.664656,0.647739,0.647509,0.650132555555556,0.00967490023347931,0.650132555555556,0.0032249667444931,0.645373555555556,0.00405500238084295,0.5023795,0.00363998456266803,,
0.555,0.6594,0.653583,0.656427,0.679755,0.657178,0.655476,0.675864,0.658048,0.658333,0.661562666666667,0.00941589645227687,0.661562666666667,0.00313863215075896,0.663575888888889,0.00444680864792208,0.498993388888889,0.00379272039934052,,
0.56,0.671488,0.664059,0.671148,0.690304,0.667131,0.665996,0.686567,0.668079,0.668883,0.672628333333333,0.00930438952860423,0.672628333333333,0.00310146317620141,0.681892777777778,0.00484057468115379,0.495367777777778,0.0039710189286776,,
0.565,0.683229,0.674234,0.685615,0.700365,0.676598,0.67613,0.696763,0.677839,0.679152,0.683325,0.00937664465573907,0.683325,0.00312554821857969,0.700219333333333,0.00521571189612054,0.491552833333333,0.00417063005735011,,
0.57,0.694625,0.684099,0.699828,0.709959,0.686908,0.685857,0.706454,0.687333,0.689133,0.693799555555556,0.00952993767176773,0.693799555555556,0.00317664589058924,0.718442222222222,0.00555643223055191,0.487678666666667,0.00436653906057058,,
0.575,0.705681,0.693644,0.71382,0.719109,0.698005,0.695163,0.715655,0.696567,0.698819,0.704051444444444,0.00978983419306872,0.704051444444444,0.00326327806435624,0.736445222222222,0.00585170096538363,0.483803111111111,0.00455748951486993,,
0.58,0.716408,0.702861,0.727653,0.727842,0.709002,0.70404,0.724384,0.705543,0.708201,0.713992666666667,0.0102776394663366,0.713992666666667,0.00342587982211221,0.754114222222222,0.00609608091267063,0.479939222222222,0.00476098036739142,,
0.585,0.726818,0.711747,0.741414,0.736182,0.719985,0.714261,0.73267,0.714263,0.717276,0.723846222222222,0.0108147550570711,0.723846222222222,0.00360491835235703,0.771346222222222,0.00628882088130681,0.47625,0.00494686961683192,,
0.59,0.736925,0.720301,0.755208,0.744158,0.731056,0.725246,0.740547,0.722731,0.726039,0.733579,0.0115440354079498,0.733579,0.00384801180264995,0.788054222222222,0.0064338582488309,0.472762388888889,0.00514093502574042,,
0.595,0.746745,0.728527,0.769146,0.751798,0.742325,0.736062,0.748055,0.73095,0.734492,0.743122222222222,0.0126298727604218,0.743122222222222,0.00420995758680726,0.804170555555556,0.00653847192288992,0.469475833333333,0.00537421475484859,,
0.6,0.756293,0.738304,0.783328,0.759129,0.75391,0.746807,0.755237,0.738922,0.742637,0.752729666666667,0.0138441239340018,0.752729666666667,0.00461470797800059,0.819651555555556,0.00661218093351436,0.466539055555556,0.00561344445575748,,
0.605,0.765584,0.749655,0.797829,0.766802,0.765919,0.757604,0.76214,0.746654,0.750485,0.762519111111111,0.015298664798312,0.762519111111111,0.00509955493277066,0.834475555555556,0.0066647658167392,0.464021777777778,0.00588216037475493,,
0.61,0.774633,0.761084,0.812686,0.777265,0.778446,0.768591,0.769323,0.754153,0.758045,0.772691777777778,0.0172425763647561,0.772691777777778,0.0057475254549187,0.848641888888889,0.00670443362104603,0.462024944444444,0.00622597953798236,,
0.615,0.783454,0.772699,0.827885,0.787909,0.791559,0.779912,0.779821,0.761426,0.765336,0.783333444444445,0.0194114341118264,0.783333444444445,0.00647047803727547,0.862165777777778,0.00673639147503604,0.460583833333333,0.00660343475615576,,
0.62,0.792059,0.784613,0.843353,0.798811,0.805285,0.791698,0.790835,0.769558,0.772375,0.794287444444444,0.0216729197508729,0.794287444444444,0.0072243065836243,0.875071555555556,0.0067616509450789,0.459607944444444,0.0069929787643516,,
0.625,0.804536,0.796936,0.858962,0.810043,0.819609,0.804054,0.802477,0.780871,0.779186,0.806297111111111,0.0236026607951542,0.806297111111111,0.00786755359838473,0.887385888888889,0.00677680570943691,0.459455611111111,0.00732217965391082,,
0.63,0.81841,0.809751,0.874532,0.821661,0.834456,0.81704,0.814819,0.792424,0.790106,0.819244333333333,0.0249439272820059,0.819244333333333,0.0083146424273353,0.899129555555556,0.00677440972646144,0.460057388888889,0.00754452607689837,,
0.635,0.832401,0.823104,0.889845,0.833701,0.849701,0.830662,0.827878,0.804296,0.801573,0.832573444444444,0.0261024375543316,0.832573444444444,0.00870081251811052,0.910312222222222,0.00674409381479203,0.461130611111111,0.00772245316645127,,
0.64,0.846449,0.836986,0.904663,0.846168,0.865164,0.844858,0.841607,0.816557,0.813479,0.846214555555555,0.0270064401630014,0.846214555555555,0.00900214672100048,0.920928777777778,0.00667424880870453,0.462642888888889,0.00783819776485251,,
0.645,0.860477,0.851327,0.918746,0.859028,0.880622,0.859504,0.855892,0.829254,0.825899,0.860083222222222,0.0275635781094263,0.860083222222222,0.00918785936980875,0.930956888888889,0.00655314289407178,0.464563166666667,0.00787050113194027,,
0.65,0.874382,0.865991,0.931874,0.872206,0.895821,0.87441,0.870552,0.842395,0.838863,0.874054888888889,0.0277005840211196,0.874054888888889,0.00923352800703988,0.940362333333333,0.00637142724068425,0.466846277777778,0.00780247762386207,,
0.655,0.888042,0.880785,0.943863,0.885576,0.910493,0.889337,0.885352,0.855941,0.852343,0.887970222222222,0.0273690888722011,0.887970222222222,0.00912302962406705,0.949099666666667,0.00612283543158088,0.469435277777778,0.00762293252782396,,
0.66,0.901318,0.89547,0.954579,0.89897,0.92438,0.904012,0.90002,0.869798,0.866247,0.901643777777778,0.0265513061673893,0.901643777777778,0.00885043538912976,0.957122222222222,0.00580542437863498,0.472260777777778,0.00732792988388237,,
0.665,0.914064,0.909781,0.963947,0.912177,0.937248,0.918147,0.914262,0.883814,0.880417,0.914873,0.0252629156967283,0.914873,0.00842097189890943,0.964388,0.00542239110079677,0.4752425,0.0069216814998531,,
0.67,0.926137,0.923446,0.971948,0.924964,0.94891,0.931469,0.927792,0.897791,0.894639,0.927455111111111,0.0235505490299294,0.927455111111111,0.00785018300997647,0.970867,0.0049814073229025,0.478294055555555,0.00641579516643949,,
0.675,0.937403,0.936216,0.978623,0.937087,0.959232,0.943735,0.940348,0.911492,0.908656,0.939199111111111,0.0214901300277851,0.939199111111111,0.00716337667592837,0.976546555555556,0.00449485803171898,0.481326277777778,0.00582911735382368,,
0.68,0.947751,0.947877,0.984057,0.948319,0.96815,0.954756,0.951722,0.924667,0.922191,0.949943333333333,0.0191779493494482,0.949943333333333,0.00639264978314939,0.981435555555556,0.00397835887127368,0.484253888888889,0.00518550432721153,,
