,04P,08A,08AG,08G,08P,08S,08SoS,08T,10S,12A,12D,12G,12P,12Sos,12T,Mean,Standard Deviation,mean,SEM,R,R,B_GS,sem
,,,,,,,,,,,,,,,,,,,,mean,sem,,
,,,,,,,,,,,,,,,,"Statistics On Rows of [NC S/V]Sheet1!Col(""04P""):Col(""12T"")","Statistics On Rows of [NC S/V]Sheet1!Col(""04P""):Col(""12T"")",,,,,,
0.445,0.233573,0.234455,0.242891,0.25573,0.232769,0.23357,0.236156,0.234528,0.232195,0.241846,0.232885,0.231976,0.232527,0.234046,0.234598,0.236249666666667,0.00629643609701628,0.236249666666667,0.00162573280961355,0.4140702,0.012074348345701,0.411089733333333,0.0137000811553146
0.45,0.234929,0.236623,0.248988,0.261212,0.233572,0.235466,0.238907,0.236346,0.232932,0.244658,0.233715,0.232594,0.233196,0.235344,0.236094,0.238305066666667,0.00779384470928059,0.238305066666667,0.00201236205079803,0.451106866666667,0.0122109102308303,0.3935991,0.0142232722816284
0.455,0.236821,0.239136,0.255601,0.267361,0.234613,0.237653,0.242116,0.238535,0.233997,0.247943,0.234793,0.233485,0.234075,0.23698,0.237953,0.240737466666667,0.0094603066536425,0.240737466666667,0.00244264067463817,0.4870174,0.0122381330889502,0.376860033333333,0.0146807737635883
0.46,0.239421,0.242147,0.26296,0.274242,0.235964,0.240288,0.24596,0.241235,0.235513,0.251757,0.236188,0.234749,0.235219,0.23905,0.240279,0.2436648,0.0112785560068654,0.2436648,0.00291211063892382,0.520955533333333,0.0121317662475191,0.361354633333333,0.015043876886443
0.465,0.242938,0.245805,0.271272,0.281908,0.237705,0.243532,0.250615,0.244587,0.23763,0.256155,0.237982,0.23651,0.236695,0.241662,0.243182,0.247211866666667,0.0132409203114904,0.247211866666667,0.00341879092365745,0.551922066666667,0.0117237484609605,0.3476449,0.0151425393846179
0.47,0.247612,0.250268,0.280716,0.290407,0.239926,0.24755,0.256254,0.24874,0.240538,0.261184,0.240264,0.238922,0.238578,0.24493,0.246777,0.251511066666667,0.0153403965327156,0.251511066666667,0.00396087335302836,0.579580333333333,0.0111301674905751,0.335965366666667,0.0150910408436034
0.475,0.253721,0.25569,0.291441,0.299784,0.242732,0.252511,0.263047,0.253849,0.244461,0.266894,0.243137,0.242173,0.240954,0.248979,0.251187,0.256704,0.0175677683231862,0.256704,0.00453597827638201,0.605141666666667,0.0105505566807167,0.325781166666667,0.0150865349570987
0.48,0.261569,0.262231,0.303565,0.31008,0.246235,0.258593,0.271157,0.260074,0.249663,0.273332,0.246713,0.246479,0.243919,0.253939,0.256539,0.2629392,0.0199122731399506,0.2629392,0.00514132681707747,0.628465333333333,0.00997538806771883,0.317236933333333,0.0151167148847963
0.485,0.271477,0.270047,0.317174,0.321335,0.250561,0.265975,0.280738,0.267574,0.25644,0.280546,0.251114,0.252087,0.247578,0.259949,0.262963,0.270370533333333,0.0223638653312074,0.270370533333333,0.00577432519897278,0.649397666666667,0.00943414793571819,0.310486433333333,0.015208473134691
0.49,0.283769,0.279286,0.332322,0.333586,0.255844,0.274835,0.291929,0.276508,0.265115,0.288586,0.25647,0.259269,0.252047,0.267148,0.270589,0.279153533333333,0.0249163346188418,0.279153533333333,0.00643336993515371,0.667941866666667,0.00892517920421219,0.305605833333333,0.0153585491393659
0.495,0.298756,0.290089,0.34903,0.346871,0.262222,0.285349,0.304849,0.287027,0.276022,0.297506,0.262917,0.268314,0.259073,0.275675,0.279542,0.289549466666667,0.0274403426047611,0.289549466666667,0.00708506599483104,0.684271733333333,0.00837562636433364,0.302638866666667,0.0154606923591647
0.5,0.316709,0.302579,0.367287,0.361223,0.269838,0.297677,0.319591,0.299267,0.289496,0.307363,0.27059,0.279512,0.267984,0.285662,0.289939,0.3016478,0.0300017579727779,0.3016478,0.0077464205990343,0.6983522,0.0077464205990343,0.3016478,0.0154928411980686
0.505,0.337841,0.316858,0.387046,0.376665,0.281008,0.311961,0.336213,0.313343,0.305845,0.318217,0.279621,0.293147,0.279046,0.297231,0.301882,0.315728266666667,0.0324386614231199,0.315728266666667,0.00837562636433364,0.710450533333333,0.00708506599483104,0.302638866666667,0.0154606923591647
0.51,0.36228,0.333,0.408233,0.393213,0.295322,0.328317,0.354739,0.329342,0.32533,0.330129,0.292993,0.309471,0.292562,0.310484,0.315457,0.332058133333333,0.0345670704198306,0.332058133333333,0.00892517920421219,0.720846466666667,0.00643336993515371,0.305605833333333,0.0153585491393659
0.515,0.390049,0.351045,0.430741,0.410867,0.312546,0.346821,0.375147,0.347316,0.348139,0.34316,0.309476,0.32869,0.308813,0.3255,0.330725,0.350602333333333,0.0365382978406936,0.350602333333333,0.00943414793571819,0.729629466666667,0.00577432519897278,0.310486433333333,0.015208473134691
0.52,0.421045,0.370996,0.454438,0.431727,0.33292,0.367509,0.397374,0.367276,0.374361,0.357369,0.328972,0.35094,0.328041,0.342332,0.34772,0.371534666666667,0.0386345118582312,0.371534666666667,0.00997538806771883,0.7370608,0.00514132681707747,0.317236933333333,0.0151167148847963
0.525,0.455035,0.392814,0.479165,0.45583,0.356608,0.390365,0.42131,0.38919,0.403967,0.372806,0.351647,0.376273,0.350423,0.360996,0.366446,0.394858333333333,0.0408621303176332,0.394858333333333,0.0105505566807167,0.743296,0.00453597827638201,0.325781166666667,0.0150865349570987
