,04P,06AG,06G,06SoS,08P,08S,10-12D,10AG,10G,10S,10SoS,12P,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
,,,,,,,,,,,,,,SD,,SEM,,SEM,,SEM
0.585,0.784235,0.807607,0.77405,0.814305,0.744393,0.752581,0.780749,0.828843,0.78242,0.771493,0.784807,0.749417,0.781241666666667,0.0259655866881649,0.781241666666667,0.00749561923203928,0.817245333333333,0.00472478494192855,0.481998166666667,0.00611020208698391
0.59,0.803393,0.823211,0.786356,0.834594,0.763352,0.768725,0.80037,0.849257,0.801301,0.790541,0.802638,0.770065,0.799483583333333,0.0264089952597366,0.799483583333333,0.00762362026111823,0.830561416666667,0.00492376162935433,0.484461083333333,0.00627369094523628
0.595,0.822771,0.838819,0.799203,0.854501,0.782933,0.785595,0.820276,0.868848,0.820472,0.809968,0.821022,0.791239,0.817970583333333,0.0266427855404809,0.817970583333333,0.00769110970187906,0.84339875,0.00514124677740102,0.487285916666667,0.00641617823964004
0.6,0.842145,0.854355,0.81257,0.873734,0.802974,0.803131,0.840209,0.887382,0.839716,0.829569,0.839713,0.812686,0.836515333333333,0.0266043549214763,0.836515333333333,0.00768001573776533,0.855864916666667,0.00536354262938661,0.490325208333333,0.00652177918357597
0.605,0.861237,0.86971,0.82641,0.892001,0.823246,0.821189,0.859859,0.904645,0.858759,0.849079,0.858403,0.83409,0.854885666666667,0.0262493679208172,0.854885666666667,0.00757753981757066,0.86805325,0.0055706721238092,0.493416208333333,0.00657410597068993
0.61,0.879742,0.884746,0.840644,0.909031,0.843461,0.83955,0.87889,0.920452,0.877294,0.868191,0.876745,0.855096,0.872820166666667,0.0255523727410385,0.872820166666667,0.00737633464023613,0.88003025,0.00573865313377388,0.496394958333333,0.006557493887005
0.615,0.897353,0.8993,0.855162,0.924602,0.86329,0.857931,0.896969,0.934668,0.895005,0.886582,0.894385,0.875336,0.890048583333333,0.024510014370599,0.890048583333333,0.00707543169735347,0.891824083333333,0.00584337646329525,0.49911225,0.00645940408032436
0.62,0.913785,0.913198,0.869821,0.938552,0.882391,0.876013,0.913792,0.947212,0.911596,0.90394,0.910991,0.894456,0.90631225,0.0231384808652167,0.90631225,0.00667950407808594,0.903418583333333,0.00586317885190011,0.501446833333333,0.00627134146499302
0.625,0.928803,0.926266,0.884445,0.95079,0.900434,0.89346,0.929112,0.958065,0.926817,0.919991,0.92628,0.912142,0.92138375,0.0214747026230865,0.92138375,0.00619921267010309,0.914754,0.00578236534908536,0.503314875,0.00599078900959422
0.63,0.942237,0.938343,0.89883,0.961296,0.917127,0.909951,0.942757,0.967267,0.940482,0.934518,0.94004,0.928151,0.93508325,0.0195727943939123,0.93508325,0.00565017905605923,0.925731583333333,0.00559363766074204,0.504675833333333,0.00562190835840064
