,04P,06A,06AG,06G,06S,06SoS,06T,08AG,08P,10-12D,10A,10AG,10G,10S,10SoS,10T,12P,12S,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,
,,,,,,,,,,,,,,,,,,,,SD,,SEM,,SEM,,SEM
0.57,0.733375,0.764186,0.751268,0.721101,0.713233,0.703534,0.709564,0.715196,0.73633,0.7477,0.763853,0.744648,0.76547,0.788986,0.777398,0.795846,0.712061,0.709186,0.741829722222222,0.0293054052910251,0.741829722222222,0.00690735026890133,0.766705777777778,0.00343354725542916,0.487561972222222,0.00517044876216524
0.575,0.764553,0.794789,0.781496,0.740083,0.743538,0.72619,0.731438,0.738131,0.76832,0.778627,0.79347,0.77493,0.795829,0.818094,0.806421,0.82453,0.745375,0.740895,0.770372722222222,0.0308479462445482,0.770372722222222,0.00727093065839938,0.773741944444444,0.00420029186775494,0.498315388888889,0.00573561126307716
0.58,0.794334,0.823613,0.810358,0.758373,0.772919,0.753072,0.754234,0.760007,0.798344,0.807562,0.821312,0.803333,0.824263,0.844982,0.833422,0.850863,0.776949,0.77099,0.797718333333333,0.0317897158527723,0.797718333333333,0.00749290788382959,0.781276777777778,0.00497298386681264,0.508220777777778,0.00623294587532111
0.585,0.82239,0.850332,0.837488,0.77593,0.801044,0.780944,0.781067,0.780745,0.826146,0.834296,0.847142,0.829659,0.850503,0.869458,0.858218,0.874697,0.806461,0.799215,0.823651944444445,0.0319848030228184,0.823651944444445,0.00753889037078363,0.789343222222222,0.00572461152579615,0.517154361111111,0.00663175094828989
0.59,0.848445,0.874698,0.86258,0.792723,0.827614,0.807636,0.806893,0.80029,0.851559,0.858697,0.870783,0.853777,0.874361,0.891411,0.88069,0.895964,0.833677,0.82539,0.847621555555556,0.0319318093391715,0.847621555555556,0.00752639963976137,0.797964388888889,0.00642986078999271,0.524828583333333,0.00697813021487704
0.595,0.872287,0.89655,0.885403,0.808732,0.852376,0.832892,0.831477,0.818606,0.874497,0.880705,0.892118,0.875629,0.89573,0.91081,0.900784,0.914671,0.858452,0.849406,0.869506944444445,0.0316167990296154,0.869506944444445,0.00745215099775109,0.807209944444444,0.0070368410677119,0.5311485,0.0072444960327315
0.6,0.893774,0.915816,0.905808,0.823949,0.875128,0.856487,0.854597,0.839911,0.894951,0.900323,0.911093,0.895214,0.91458,0.927694,0.918507,0.930891,0.880725,0.87122,0.889481555555556,0.0306274620354352,0.889481555555556,0.00721896203192993,0.817001277777778,0.00753868479315151,0.536240138888889,0.00737882341254072
0.605,0.912838,0.932508,0.923732,0.838371,0.895728,0.878241,0.876061,0.861228,0.912976,0.917605,0.927716,0.912581,0.930954,0.942167,0.933918,0.944751,0.900508,0.890844,0.907373722222222,0.0292559008242089,0.907373722222222,0.00689568195417307,0.827255166666667,0.00792374475296439,0.540059277777778,0.00740971335356873
0.61,0.929483,0.946715,0.939194,0.852004,0.914099,0.898018,0.895711,0.880761,0.928675,0.932652,0.942055,0.927819,0.944955,0.95438,0.947127,0.956419,0.917873,0.908334,0.923126333333333,0.0277146170458839,0.923126333333333,0.00653239788371093,0.837867333333333,0.00818272908994775,0.5426295,0.00735756348682934
0.615,0.943776,0.958592,0.952289,0.864857,0.930226,0.915736,0.913435,0.898488,0.942191,0.945596,0.954225,0.941047,0.956739,0.964525,0.95828,0.966096,0.93294,0.923776,0.936823,0.0260524386326095,0.936823,0.00614061867452152,0.848709111111111,0.00831299490634989,0.544056944444444,0.00722680679043571
0.62,0.955845,0.968339,0.963173,0.876944,0.944153,0.931366,0.929173,0.91442,0.953691,0.956594,0.964383,0.952403,0.966497,0.972817,0.967552,0.973999,0.945863,0.937282,0.948583,0.0243160133801963,0.948583,0.00573133931751987,0.859636611111111,0.00831873387728982,0.544473194444444,0.00702503659740484
0.625,0.96586,0.97619,0.972048,0.890693,0.95598,0.94493,0.942918,0.928601,0.963359,0.965818,0.972719,0.962042,0.974444,0.979484,0.975138,0.980351,0.956816,0.948978,0.958687166666667,0.0221083942276125,0.958687166666667,0.00521099849316344,0.870499388888889,0.00821142672243388,0.544093888888889,0.00671121260779866
0.63,0.974024,0.982395,0.979146,0.906752,0.96585,0.956503,0.954715,0.941096,0.971384,0.97345,0.979439,0.970121,0.980808,0.984755,0.981244,0.985376,0.965987,0.958997,0.967335666666667,0.0192994126244054,0.967335666666667,0.00454891517987811,0.881150388888889,0.00800875162203145,0.543092638888889,0.00627883340095478
0.635,0.98056,0.987207,0.984712,0.921529,0.973939,0.966204,0.964661,0.951988,0.977959,0.979675,0.98476,0.976807,0.985817,0.988851,0.986075,0.989285,0.973568,0.967481,0.974504333333333,0.0165693018383927,0.974504333333333,0.00390542189648475,0.891457055555556,0.00773351714093267,0.541523638888889,0.00581946951870871
0.64,0.985697,0.990866,0.988992,0.93493,0.980447,0.974185,0.972888,0.961373,0.983269,0.984676,0.988895,0.98226,0.98969,0.99198,0.989831,0.992274,0.979751,0.974572,0.980365333333333,0.0139807962577244,0.980365333333333,0.0032953052800748,0.901308555555556,0.00741169364723116,0.539528388888889,0.00535349946365298
0.645,0.989658,0.993594,0.992216,0.94689,0.985585,0.980628,0.979565,0.969359,0.987494,0.98863,0.992049,0.986642,0.992631,0.994326,0.992699,0.994522,0.98472,0.980417,0.985090277777778,0.0115847259522566,0.985090277777778,0.00273054609300948,0.910622388888889,0.00706949668921461,0.537233944444445,0.00490002139111204
0.65,0.992654,0.995588,0.994597,0.957378,0.989563,0.985726,0.984876,0.97606,0.990803,0.991704,0.994409,0.990106,0.994824,0.996055,0.994849,0.996181,0.988653,0.98516,0.988843666666667,0.00941980506230173,0.988843666666667,0.00222026934566964,0.919347611111111,0.00673036672229635,0.534748027777778,0.00447531803398299
0.655,0.994877,0.997017,0.996319,0.966404,0.992582,0.989678,0.989015,0.981598,0.993351,0.994051,0.996139,0.992797,0.996429,0.997305,0.99643,0.997384,0.991714,0.988945,0.991779722222222,0.00751003174431732,0.991779722222222,0.00177013145777767,0.927464444444444,0.006411865817089,0.532157638888889,0.00409099863743334
