,04P,06G,06S,08P,08S,10-12D,10G,12P,12S,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,,,
,,,,,,,,,,,,,SEM,,SEM,,SEM,,
0.425,0.201721,0.114143,0.19484,0.220387,0.212394,0.212025,0.21549,0.221125,0.2096,0.200191666666667,0.0333408319857198,0.200191666666667,0.0111136106619066,0.195031555555556,0.0130157695669427,0.502580055555556,0.0120646901144247,,
0.43,0.206308,0.127193,0.201062,0.22098,0.215202,0.214715,0.218652,0.221656,0.212154,0.204213555555556,0.0296529574583679,0.204213555555556,0.00988431915278931,0.224377444444444,0.01449806367829,0.489918055555556,0.0121911914155397,,
0.435,0.209879,0.141011,0.206972,0.221584,0.218139,0.217491,0.222087,0.222236,0.214675,0.208230444444444,0.0257747501254188,0.208230444444444,0.00859158337513961,0.255559888888889,0.0159625131649162,0.476335277777778,0.0122770482700279,,
0.44,0.213556,0.155696,0.212615,0.222251,0.221329,0.220468,0.225937,0.22292,0.217251,0.212447,0.0217256217747617,0.212447,0.00724187392492057,0.288282444444444,0.0173637079638275,0.462082277777778,0.012302790944374,,
0.445,0.217465,0.171366,0.218083,0.223043,0.224923,0.223786,0.230365,0.223774,0.219997,0.216978,0.0175452294014641,0.216978,0.00584840980048803,0.322198777777778,0.0186519639379832,0.447389611111111,0.0122501868692356,,
0.45,0.221758,0.188155,0.223509,0.224042,0.229097,0.227608,0.235554,0.224883,0.223054,0.221962222222222,0.013355369629645,0.221962222222222,0.00445178987654834,0.356922777777778,0.0197758510224085,0.432519722222222,0.0121138204494784,,
0.455,0.226619,0.206199,0.229059,0.225349,0.234052,0.232121,0.241701,0.226351,0.226589,0.22756,0.00955009497334974,0.22756,0.00318336499111658,0.392039888888889,0.0206861456894359,0.417760055555556,0.0119347553402763,,
0.46,0.232259,0.225626,0.234923,0.227089,0.240009,0.237534,0.249014,0.228307,0.230799,0.233951111111111,0.00740288270615651,0.233951111111111,0.00246762756871884,0.427121444444444,0.0213393170007534,0.403414833333333,0.0119034722847361,,
0.465,0.238909,0.246547,0.241308,0.229415,0.247207,0.24407,0.257705,0.230905,0.235904,0.24133,0.00882719869211066,0.24133,0.00294239956403689,0.461739333333333,0.0217002314343777,0.389795333333333,0.0123213154992073,,
0.47,0.246823,0.269046,0.248427,0.232511,0.255894,0.251964,0.267977,0.234325,0.242153,0.249902222222222,0.0129910880296627,0.249902222222222,0.00433036267655422,0.495482333333333,0.0217452534188498,0.377209944444445,0.013037808047702,,
0.475,0.256262,0.293172,0.256488,0.236591,0.266321,0.261453,0.28002,0.238777,0.249808,0.259876888888889,0.0182746152110273,0.259876888888889,0.00609153840367577,0.527969111111111,0.021463669859688,0.365953888888889,0.0137776041316819,,
0.48,0.267486,0.318932,0.265688,0.241898,0.278728,0.272767,0.293994,0.244495,0.259146,0.271459333333333,0.0240251699629784,0.271459333333333,0.00800838998765947,0.558863,0.0208580535931435,0.356298166666667,0.0144332217904015,,
0.485,0.280744,0.34629,0.276204,0.248701,0.293334,0.286112,0.31002,0.251731,0.270442,0.284842,0.029968304510766,0.284842,0.00998943483692201,0.587883666666667,0.0199439538491967,0.348479166666667,0.0149666943430594,,
0.49,0.296256,0.375157,0.28964,0.257286,0.310323,0.301667,0.328172,0.260751,0.283959,0.300356777777778,0.035871410014724,0.300356777777778,0.0119571366715747,0.614812777777778,0.01874826183927,0.342772,0.0153526992554223,,
0.495,0.314204,0.405401,0.305747,0.267943,0.329832,0.319563,0.348463,0.271823,0.299933,0.318101,0.041590649859674,0.318101,0.0138635499532247,0.639500444444444,0.0173070031523137,0.339300277777778,0.0155852765527692,,
0.5,0.334712,0.436838,0.324268,0.280956,0.351937,0.33988,0.370842,0.285204,0.318558,0.338132777777778,0.046989318721859,0.338132777777778,0.0156631062406196,0.661867222222222,0.0156631062406196,0.338132777777778,0.0156631062406196,,
